,Hospital Name,Beds,City,State
3804,Miami County Medical Center,18,Paola,KS
3805,Miami Jewish Health Systems,454,Miami,FL
3806,Miami VA Healthcare System,0,Miami,FL
3807,Miami Valley Hospital,825,Dayton,OH
3808,Miami Valley Hospital North,0,Englewood,OH
3809,Miami Valley Hospital South,0,Centerville,OH
3810,Michael E. DeBakey VA Medical Center,0,Houston,TX
3811,Michiana Behavioral Health Center,51,Plymouth,IN
3812,Michigan Surgical Hospital,13,Warren,MI
3813,Mid Coast Hospital,92,Brunswick,ME
3814,Mid-Columbia Medical Center,49,The Dalles,OR
3815,Mid-Hudson Forensic Psychiatric Center,286,New Hampton,NY
3816,Mid-Jefferson Extended Care Hospital,48,Nederland,TX
3817,Mid-Valley Hospital,25,Omak,WA
3818,MidAmerica Rehabilitation Hospital,98,Overland Park,KS
3819,Middle Park Health Granby,0,Granby,CO
3820,Middle Park Health Kremmling,21,Kremmling,CO
3821,Middle Tennessee Mental Health Institute,207,Nashville,TN
3822,Middlesboro ARH Hospital,46,Middlesboro,KY
3823,Middlesex Hospital,229,Middletown,CT
3824,Midhudson Regional Hospital of Westchester Medical Center,243,Poughkeepsie,NY
3825,Midland Memorial Hospital,228,Midland,TX
3826,Midlands Regional Center,0,Columbia,SC
3827,MidMichigan Medical Center - Alpena,139,Alpena,MI
3828,MidMichigan Medical Center - Clare,49,Clare,MI
3829,MidMichigan Medical Center - Gladwin,25,Gladwin,MI
3830,MidMichigan Medical Center - Gratiot,97,Alma,MI
3831,MidMichigan Medical Center - Midland,324,Midland,MI
3832,MidMichigan Medical Center-West Branch,88,West Branch,MI
3833,MidState Medical Center,143,Meriden,CT
3834,Midwest Medical Center,30,Galena,IL
3835,Midwest Orthopedic Specialty Hospital,16,Franklin,WI
3836,Midwest Surgical Hospital,19,Omaha,NE
3837,Mike O'Callaghan Military Medical Center,0,Nellis Air Force Base,NV
3838,Milan Hospital,47,Milan,TN
3839,Milbank Area Health Care Campus,25,Milbank,SD
3840,Mildred Mitchell-Bateman Hospital,110,Huntington,WV
3841,Mile Bluff Medical Center,100,Mauston,WI
3842,Milford Regional Medical Center,145,Milford,MA
3843,Milford Valley Memorial Hospital,5,Milford,UT
3844,Millard Fillmore Suburban Hospital,0,Williamsville,NY
3845,Millcreek Community Hospital,167,Erie,PA
3846,Mille Lacs Hospital,95,Onamia,MN
3847,Miller Children's and Women's Hospital Long Beach,357,Long Beach,CA
3848,Miller County Hospital,156,Colquitt,GA
3849,Millinocket Regional Hospital,25,Millinocket,ME
3850,Mills Health Center,0,San Mateo,CA
3851,Mills-Peninsula Medical Center,301,Burlingame,CA
3852,Millwood Hospital,134,Arlington,TX
3853,Milton S. Hershey Medical Center,548,Hershey,PA
3854,Milwaukee County Behavioral Health,120,Milwaukee,WI
3855,Milwaukee VA Medical Center,0,Milwaukee,WI
3856,Mimbres Memorial Hospital,25,Deming,NM
3857,Minden Medical Center,157,Minden,LA
3858,Mineral Community Hospital,24,Superior,MT
3859,Miners' Colfax Medical Center,62,Raton,NM
3860,Minidoka Memorial Hospital,62,Rupert,ID
3861,Minneapolis VA Medical Center,0,Minneapolis,MN
3862,Minneola District Hospital,14,Minneola,KS
3863,Minnie Hamilton Health Systems,49,Grantsville,WV
3864,MISH Hospital and Clinics,9,Lenexa,KS
3865,Mission Children's Hospital,0,Asheville,NC
3866,Mission Community Hospital,145,Panorama City,CA
3867,Mission Hospital - Memorial Campus,727,Asheville,NC
3868,Mission Hospital Laguna Beach,189,Laguna Beach,CA
3869,Mission Hospital McDowell,49,Marion,NC
3870,Mission Hospital Mission Viejo,523,Mission Viejo,CA
3871,Mission Regional Medical Center,297,Mission,TX
3872,Mission Saint Joseph Campus,0,Asheville,NC
3873,Mission Trail Baptist Hospital,0,San Antonio,TX
3874,Mississippi Baptist Medical Center,446,Jackson,MS
3875,Mississippi State Hospital,139,Whitfield,MS
3876,Missouri Baptist Medical Center,426,Saint Louis,MO
3877,Missouri Baptist Sullivan Hospital,35,Sullivan,MO
3878,Missouri Delta Medical Center,133,Sikeston,MO
3879,Missouri Psychiatric Center,59,Columbia,MO
3880,Missouri River Medical Center,25,Fort Benton,MT
3881,Mitchell County Hospital,25,Colorado City,TX
3882,Mitchell County Hospital,181,Camilla,GA
3883,Mitchell County Hospital Health Systems,66,Beloit,KS
3884,Mitchell County Regional Health Center,25,Osage,IA
3885,Mizell Memorial Hospital,59,Opp,AL
3886,Moab Regional Hospital,17,Moab,UT
3887,Moberly Regional Medical Center,51,Moberly,MO
3888,Mobile Infirmary Medical Center,669,Mobile,AL
3889,Mobridge Regional Hospital,25,Mobridge,SD
3890,Moccasin Bend Mental Health Institute,165,Chattanooga,TN
3891,Moccasin Bend Ranch,0,Miami,OK
3892,Modesto Medical Center,0,Modesto,CA
3893,Modoc Medical Center,87,Alturas,CA
3894,Moffitt Cancer Center,206,Tampa,FL
3895,Mohawk Valley Psychiatric Center,30,Utica,NY
3896,Molokai General Hospital,15,Kaunakakai,HI
3897,Mon Health Medical Center,189,Morgantown,WV
3898,Monadnock Community Hospital,25,Peterborough,NH
3899,Monmouth Medical Center,342,Long Branch,NJ
3900,"Monmouth Medical Center, Southern Campus",201,Lakewood,NJ
3901,Monongahela Valley Hospital,167,Monongahela,PA
3902,Monroe Carell Jr. Children's Hospital at Vanderbilt,0,Nashville,TN
3903,Monroe Community Hospital,571,Rochester,NY
3904,Monroe County Hospital,49,Monroeville,AL
3905,Monroe County Hospital,25,Forsyth,GA
3906,Monroe County Hospital,25,Albia,IA
3907,Monroe County Medical Center,49,Tompkinsville,KY
3908,Monroe Hospital,32,Bloomington,IN
3909,Monroe Regional Hospital,35,Aberdeen,MS
3910,Monroe Surgical Hospital,10,Monroe,LA
3911,Monrovia Memorial Hospital,49,Monrovia,CA
3912,Montana Children's Medical Center,0,Kalispell,MT
3913,Montana State Hospital,174,Warm Springs,MT
3914,Montclair Hospital Medical Center,106,Montclair,CA
3915,Montefiore Hospital- Moses Campus,1529,Bronx,NY
3916,Montefiore Mount Vernon Hospital,85,Mount Vernon,NY
3917,Montefiore New Rochelle Hospital,301,New Rochelle,NY
3918,Montefiore Nyack Hospital,235,Nyack,NY
3919,Montefiore St. Lukes Cornwall,193,Newburgh,NY
3920,Montefiore Wakefield Campus,345,Bronx,NY
3921,Montefiore Westchester Square Campus,140,Bronx,NY
3922,Monterey Park Hospital,101,Monterey Park,CA
3923,Montevista Hospital,202,Las Vegas,NV
3924,"Montgomery County Emergency Service, Inc.",73,Norristown,PA
3925,Montgomery County Memorial Hospital,25,Red Oak,IA
3926,Montgomery General Hospital,69,Montgomery,WV
3927,Montrose Memorial Hospital,60,Montrose,CO
3928,Monument Health Behavioral Health Center,0,Rapid City,SD
3929,Monument Health Custer Hospital,87,Custer,SD
3930,Monument Health Lead - Deadwood Hospital,18,Deadwood,SD
3931,Monument Health Orthopedic and Specialty Hospital,0,Rapid City,SD
3932,Monument Health Rapid City Hospital,387,Rapid City,SD
3933,Monument Health Spearfish Hospital,27,Spearfish,SD
3934,Monument Health Sturgis Hospital,109,Sturgis,SD
3935,Moore County Hospital,19,Dumas,TX
3936,Mora Hospital,25,Mora,MN
3937,Morehouse General Hospital,49,Bastrop,LA
3938,Moreno Valley Medical Center,94,Moreno Valley,CA
3939,Morgan County ARH Hospital,25,West Liberty,KY
3940,Morgan Memorial Hospital,25,Madison,GA
3941,Morrill County Community Hospital,20,Bridgeport,NE
3942,Morris County Hospital,25,Council Grove,KS
3943,Morris Hospital,89,Morris,IL
3944,Morris Village Alcohol and Drug Treatment Center,0,Columbia,SC
3945,Morrison Community Hospital,25,Morrison,IL
3946,Morristown Medical Center,693,Morristown,NJ
3947,Morristown-Hamblen Hospital,128,Morristown,TN
3948,Morrow County Hospital,23,Mount Gilead,OH
3949,Morton County Hospital,26,Elkhart,KS
3950,Morton Hospital,112,Taunton,MA
3951,Morton Plant Hospital,710,Clearwater,FL
3952,Morton Plant North Bay Hospital,217,New Port Richey,FL
3953,Mosaic Life Care at St. Joseph Medical Center,352,Saint Joseph,MO
3954,Mosaic Medical Center - Maryville,52,Maryville,MO
3955,Mosaic Medical Center-Albany,25,Albany,MO
3956,Moses Taylor Hospital,183,Scranton,PA
3957,MossRehab at Doylestown Hospital,0,Doylestown,PA
3958,MossRehab at Einstein Philadelphia,0,Philadelphia,PA
3959,MossRehab at Elkins Park,0,Elkins Park,PA
3960,MossRehab at Jefferson Bucks Hospital,0,Langhorne,PA
3961,MossRehab at Jefferson Frankford Hospital,0,Philadelphia,PA
3962,Motion Picture & Television Hospital,122,Woodland Hills,CA
3963,Mount Ascutney Hospital and Health Center,35,Windsor,VT
3964,Mount Auburn Hospital,208,Cambridge,MA
3965,Mount Carmel Behavioral Health,0,Columbus,OH
3966,Mount Carmel East,0,Columbus,OH
3967,Mount Carmel Grove City,0,Grove City,OH
3968,Mount Carmel New Albany,60,New Albany,OH
3969,Mount Carmel Rehabilitation Hospital,60,Westerville,OH
3970,Mount Carmel Saint Ann's,284,Westerville,OH
3971,Mount Desert Island Hospital,25,Bar Harbor,ME
3972,Mount Graham Regional Medical Center,49,Safford,AZ
3973,Mount Grant General Hospital,35,Hawthorne,NV
3974,Mount Nittany Medical Center,260,State College,PA
3975,Mount Regis Center,0,Salem,VA
3976,Mount Saint Mary's Hospital,143,Lewiston,NY
3977,Mount San Rafael Hospital,25,Trinidad,CO
3978,Mount Sinai Brooklyn,0,Brooklyn,NY
3979,Mount Sinai Queens,235,Astoria,NY
3980,Mount Sinai Beth Israel Medical Center,554,New York,NY
3981,Mount Sinai Hospital,264,Chicago,IL
3982,Mount Sinai Medical Center,589,Miami Beach,FL
3983,Mount Sinai Morningside,783,New York,NY
3984,Mount Sinai Rehabilitation Hospital,60,Hartford,CT
3985,Mount Sinai South Nassau,407,Oceanside,NY
3986,Mount Sinai West,0,New York,NY
3987,Mount Washington Pediatric Hospital,102,Baltimore,MD
3988,Mountain Community Medical Services,48,Weaverville,CA
3989,Mountain Lakes Medical Center,25,Clayton,GA
3990,Mountain Manor Treatment Center Emmitsburg,0,Emmitsburg,MD
3991,Mountain Point Medical Center,0,Lehi,UT
3992,Mountain Valley Regional Rehabilitation Hospital,44,Prescott Valley,AZ
3993,Mountain View Hospital,41,Idaho Falls,ID
3994,Mountain View Hospital,124,Payson,UT
3995,Mountain View Hospital,68,Gadsden,AL
3996,Mountain View Regional Hospital,98,Norton,VA
3997,Mountain Vista Medical Center,162,Mesa,AZ
3998,Mountain West Medical Center,36,Tooele,UT
3999,Mountains Community Hospital,37,Lake Arrowhead,CA
4000,MountainView Hospital,384,Las Vegas,NV
4001,Mountainview Medical Center,25,White Sulphur Springs,MT
4002,MountainView Regional Medical Center,180,Las Cruces,NM
4003,Mountrail County Health Center,11,Stanley,ND
4004,Mt. Edgecumbe Hospital,25,Sitka,AK
4005,Muenster Memorial Hospital,18,Muenster,TX
4006,Muleshoe Area Medical Center,25,Muleshoe,TX
4007,Multicare Allenmore Hospital,0,Tacoma,WA
4008,Multicare Auburn Medical Center,131,Auburn,WA
4009,MultiCare Covington Medical Center,58,Covington,WA
4010,MultiCare Deaconess Hospital,267,Spokane,WA
4011,MultiCare Good Samaritan Hospital,321,Puyallup,WA
4012,Multicare Tacoma General Hospital,380,Tacoma,WA
4013,MultiCare Valley Hospital,123,Spokane Valley,WA
4014,Multy Medical Facilities Corporation,31,Hato Rey,PR
4015,Munising Memorial Hospital,11,Munising,MI
4016,Munson Healthcare Cadillac Hospital,49,Cadillac,MI
4017,Munson Healthcare Charlevoix Hospital,25,Charlevoix,MI
4018,Munson Healthcare Grayling Hospital,88,Grayling,MI
4019,Munson Medical Center,442,Traverse City,MI
4020,Murray County Medical Center,20,Slayton,MN
4021,Murray-Calloway County Hospital,277,Murray,KY
4022,MUSC Health Ashley River Tower,0,Charleston,SC
4023,MUSC Health Chester Medical Center,122,Chester,SC
4024,MUSC Health Florence Medical Center,396,Florence,SC
4025,MUSC Health Lancaster Medical Center,215,Lancaster,SC
4026,MUSC Health Marion Medical Center,94,Mullins,SC
4027,MUSC Health University Hospital,780,Charleston,SC
4028,MUSC Shawn Jenkins Children's Hospital and Pearl Tourville Women's Pavilion,0,Charleston,SC
4029,Muscogee Creek Nation Medical Center,66,Okmulgee,OK
4030,MVHS - St. Luke's Campus,255,Utica,NY
4031,MVHS - Faxton Campus,0,Utica,NY
4032,MVHS - St. Elizabeth Campus,201,Utica,NY
4033,Myrtue Medical Center,25,Harlan,IA
4034,Nacogdoches Medical Center,155,Nacogdoches,TX
4035,Nacogdoches Memorial Hospital,141,Nacogdoches,TX
4036,Nanticoke Memorial Hospital,94,Seaford,DE
4037,Nantucket Cottage Hospital,19,Nantucket,MA
4038,Nash General Hospital,345,Rocky Mount,NC
4039,Nashoba Valley Medical Center,77,Ayer,MA
4040,Nashville Community Care and Rehabilitation Center at Bordeaux,60,Nashville,TN
4041,Nashville General Hospital at Meharry,114,Nashville,TN
4042,Nassau University Medical Center,530,East Meadow,NY
4043,Natchaug Hospital,57,Mansfield Center,CT
4044,Natchitoches Regional Medical Center,208,Natchitoches,LA
4045,Nathan Littauer Hospital,142,Gloversville,NY
4046,National Jewish Health Main Campus,24,Denver,CO
4047,National Park Medical Center,163,Hot Springs,AR
4048,Nationwide Children's Hospital,673,Columbus,OH
4049,Natividad Medical Center,172,Salinas,CA
4050,Navajo Health Foundation/Sage Memorial Hospital,25,Ganado,AZ
4051,Naval Health Clinic Lemoore,0,Lemoore,CA
4052,Naval Hospital Beaufort,0,Beaufort,SC
4053,Naval Hospital Bremerton,0,Bremerton,WA
4054,Naval Hospital Camp Lejeune,0,Camp Lejeune,NC
4055,Naval Hospital Camp Pendleton,0,Camp Pendleton,CA
4056,Naval Hospital Jacksonville,0,Jacksonville,FL
4057,Naval Hospital Oak Harbor,0,Oak Harbor,WA
4058,Naval Hospital Pensacola,0,Pensacola,FL
4059,Naval Medical Center Portsmouth,0,Portsmouth,VA
4060,Naval Medical Center San Diego,0,San Diego,CA
4061,Navarro Regional Hospital,49,Corsicana,TX
4062,Navicent Health Baldwin,113,Milledgeville,GA
4063,Navos West Seattle Campus,43,Seattle,WA
4064,Nazareth Hospital,200,Philadelphia,PA
4065,NCH Baker Hospital Downtown,602,Naples,FL
4066,NCH North Naples Hospital,0,Naples,FL
4067,NEA Baptist Memorial Hospital,204,Jonesboro,AR
4068,Nebraska Medicine- Bellevue,61,Bellevue,NE
4069,Nebraska Spine Hospital,34,Omaha,NE
4070,Nell J. Redfield Memorial Hospital,44,Malad City,ID
4071,Nelson County Health System Hospital,58,McVille,ND
4072,Nemaha County Hospital,16,Auburn,NE
4073,Nemaha Valley Community Hospital,24,Seneca,KS
4074,Nemours Children's Hospital Orlando,100,Orlando,FL
4075,Neosho Memorial Regional Medical Center,22,Chanute,KS
4076,Neshoba County General Hospital,208,Philadelphia,MS
4077,Ness County Hospital,25,Ness City,KS
4078,NeuroBehavioral Hospital of Northwest Indiana / Chicago,70,Crown Point,IN
4079,NeuroPsychiatric Hospital of Indianapolis,50,Indianapolis,IN
4080,Nevada Regional Medical Center,71,Nevada,MO
4081,New Braunfels Regional Rehabilitation Hospital,40,New Braunfels,TX
4082,New England Baptist Hospital,98,Boston,MA
4083,New England Rehabilitation Hospital of Portland,90,Portland,ME
4084,New England Sinai Hospital,203,Stoughton,MA
4085,New Hampshire Hospital,168,Concord,NH
4086,New Hanover Regional Medical Center,738,Wilmington,NC
4087,New Hanover Regional Medical Center - Orthopedic Hospital,94,Wilmington,NC
4088,New Hanover Regional Medical Center Behavioral Health Hospital,0,Wilmington,NC
4089,New Hanover Regional Medical Center Rehabilitation Hospital,0,Wilmington,NC
4090,New Horizons of Treasure Coast and Okeechobee,0,Fort Pierce,FL
4091,New London Hospital,25,New London,NH
4092,New Mexico Behavioral Health Institute,0,Las Vegas,NM
4093,New Mexico Rehabilitation Center,15,Roswell,NM
4094,New Milford Hospital,85,New Milford,CT
4095,New Orleans East Hospital,50,New Orleans,LA
4096,New Ulm Medical Center,34,New Ulm,MN
4097,New York City Children's Center - Queens Campus,0,Bellerose,NY
4098,New York City Children's Center Bronx Campus,0,Bronx,NY
4099,New York Community Hospital,134,Brooklyn,NY
4100,New York Presbyterian/Columbia University Irving Medical Center,0,New York,NY
4101,New York Presbyterian/Weill Cornell Medical Center,2650,New York,NY
4102,New York State Psychiatric Institute,21,New York,NY
4103,Newark Beth Israel Medical Center,487,Newark,NJ
4104,Newark-Wayne Community Hospital,297,Newark,NY
4105,Newberry County Memorial Hospital,48,Newberry,SC
4106,Newman Memorial Hospital,25,Shattuck,OK
4107,Newman Regional Health,28,Emporia,KS
4108,Newport Bay Hospital,36,Newport Beach,CA
4109,Newport Community Hospital,70,Newport,WA
4110,Newport Hospital,129,Newport,RI
4111,Newport Medical Center,88,Newport,TN
4112,Newton Medical Center,146,Newton,NJ
4113,Newton Medical Center,97,Newton,KS
4114,Newton-Wellesley Hospital,286,Newton,MA
4115,NewYork-Presbyterian Queens Hospital,492,Flushing,NY
4116,NewYork-Presbyterian Allen Hospital,0,New York,NY
4117,NewYork-Presbyterian Brooklyn Methodist Hospital,591,Brooklyn,NY
4118,NewYork-Presbyterian Hudson Valley Hospital,128,Cortlandt Manor,NY
4119,NewYork-Presbyterian Kids Morgan Stanley Children's Hospital,0,New York,NY
4120,NewYork-Presbyterian Lawrence Hospital,208,Bronxville,NY
4121,"NewYork-Presbyterian, Lower Manhattan Hospital",132,New York,NY
4122,NewYork-Presbyterian/Westchester Division,0,White Plains,NY
4123,Nexus Children's Hospital - Houston Campus,40,Houston,TX
4124,Nexus Neurorecovery Center,0,Conroe,TX
4125,Nexus Specialty Hospital - Shenandoah Campus,0,Shenandoah,TX
4126,Nexus Specialty Hospital - The Woodlands Campus,85,The Woodlands,TX
4127,Niagara Falls Memorial Medical Center,133,Niagara Falls,NY
4128,Nicklaus Children's Hospital,309,Miami,FL
4129,Niobrara Community Hospital,24,Lusk,WY
4130,Niobrara Valley Hospital,20,Lynch,NE
4131,Niswonger Children's Hospital,0,Johnson City,TN
4132,Nocona General Hospital,18,Nocona,TX
4133,Noland Hospital Anniston,38,Anniston,AL
4134,Noland Hospital Birmingham,45,Birmingham,AL
4135,Noland Hospital Dothan,38,Dothan,AL
4136,Noland Hospital Montgomery,65,Montgomery,AL
4137,Noland Hospital Tuscaloosa,32,Tuscaloosa,AL
4138,Nor-Lea Hospital District,25,Lovington,NM
4139,Norfolk Regional Center,150,Norfolk,NE
4140,Norman Regional HealthPlex Hospital,0,Norman,OK
4141,Norman Regional Hospital,381,Norman,OK
4142,North Alabama Medical Center,233,Florence,AL
4143,North Alabama Specialty Hospital,31,Athens,AL
4144,North Arkansas Regional Medical Center,134,Harrison,AR
4145,North Baldwin Infirmary,70,Bay Minette,AL
4146,North Big Horn Hospital,97,Lovell,WY
4147,North Caddo Medical Center,25,Vivian,LA
4148,North Canyon Medical Center,16,Gooding,ID
4149,North Carolina Specialty Hospital,18,Durham,NC
4150,North Central Baptist Hospital,0,San Antonio,TX
4151,North Central Health Care Wausau Campus,216,Wausau,WI
4152,North Central Surgical Center,24,Dallas,TX
4153,North Colorado Medical Center,225,Greeley,CO
4154,North Country Hospital,25,Newport,VT
4155,North Dakota State Hospital,106,Jamestown,ND
4156,North Florida Regional Medical Center,414,Gainesville,FL
4157,North Greenville Hospital,45,Travelers Rest,SC
4158,North Hawaii Community Hospital,33,Kamuela,HI
4159,North Kansas City Hospital,411,North Kansas City,MO
4160,North Knoxville Medical Center,0,Powell,TN
4161,North Memorial Health Hospital,385,Robbinsdale,MN
4162,North Mississippi Medical Center - Eupora,38,Eupora,MS
4163,North Mississippi Medical Center - Hamilton,115,Hamilton,AL
4164,North Mississippi Medical Center - Iuka,48,Iuka,MS
4165,North Mississippi Medical Center - Pontotoc,25,Pontotoc,MS
4166,North Mississippi Medical Center - Tupelo,621,Tupelo,MS
4167,North Mississippi Medical Center - West Point,49,West Point,MS
4168,North Mississippi Medical Center Gilmore - Amory,95,Amory,MS
4169,North Mississippi Medical Center Women's Hospital,0,Tupelo,MS
4170,North Mississippi State Hospital,50,Tupelo,MS
4171,North Oaks Medical Center,344,Hammond,LA
4172,North Oaks Rehabilitation Hospital,27,Hammond,LA
4173,North Okaloosa Medical Center,110,Crestview,FL
4174,North Ottawa Community Hospital,81,Grand Haven,MI
4175,North Runnels Hospital District,15,Winters,TX
4176,North Shore Health,53,Grand Marais,MN
4177,North Shore Medical Center,748,Miami,FL
4178,North Shore University Hospital,1040,Manhasset,NY
4179,North Spring Behavioral Healthcare,0,Leesburg,VA
4180,"North Star Hospital, DeBarr Campus",0,Anchorage,AK
4181,North Suburban Medical Center,127,Thornton,CO
4182,North Sunflower Medical Center,35,Ruleville,MS
4183,North Tampa Behavioral Health,126,Wesley Chapel,FL
4184,North Texas Medical Center,36,Gainesville,TX
4185,North Texas State Hospital - Vernon Campus,0,Vernon,TX
4186,North Texas State Hospital - Wichita Falls Campus,696,Wichita Falls,TX
4187,North Valley Health Center,12,Warren,MN
4188,North Valley Hospital,25,Whitefish,MT
4189,North Valley Hospital,21,Tonasket,WA
4190,North Vista Hospital,177,North Las Vegas,NV
4191,NorthBay Medical Center,182,Fairfield,CA
4192,NorthBay VacaValley Hospital,50,Vacaville,CA
4193,Northbrook Behavioral Health Hospital,158,Blackwood,NJ
4194,Northcoast Behavioral Healthcare - Northfield Campus,258,Northfield,OH
4195,NorthCrest Medical Center,109,Springfield,TN
4196,Northeast Baptist Hospital,0,San Antonio,TX
4197,Northeast Florida State Hospital,60,Macclenny,FL
4198,Northeast Georgia Medical Center Barrow,56,Winder,GA
4199,Northeast Georgia Medical Center Braselton,0,Braselton,GA
4200,Northeast Georgia Medical Center Gainesville,884,Gainesville,GA
4201,Northeast Methodist Hospital,116,San Antonio,TX
4202,Northeast Montana Healthcare - Trinity Hospital Campus,82,Wolf Point,MT
4203,Northeast Montana Healthcare Poplar Hospital,20,Poplar,MT
4204,Northeast Regional Medical Center,51,Kirksville,MO
4205,Northeast Rehabilitation Hospital,135,Salem,NH
4206,Northeast Rehabilitation Hospital at Southern New Hampshire Medical Center,0,Nashua,NH
4207,Northeast Rehabilitation Hospital at The Elliot,0,Manchester,NH
4208,Northeast Rehabilitation Hospital in Portsmouth,0,Portsmouth,NH
4209,Northeastern Center,16,Kendallville,IN
4210,Northeastern Health System,90,Tahlequah,OK
4211,Northeastern Nevada Regional Hospital,59,Elko,NV
4212,Northeastern Vermont Regional Hospital,25,Saint Johnsbury,VT
4213,Northern Arizona VA Health Care System,0,Prescott,AZ
4214,Northern Cochise Community Hospital,48,Willcox,AZ
4215,Northern Colorado Long Term Acute Hospital,20,Johnstown,CO
4216,Northern Colorado Rehabilitation Hospital,40,Johnstown,CO
4217,Northern Dutchess Hospital,84,Rhinebeck,NY
4218,Northern Hospital of Surry County,133,Mount Airy,NC
4219,Northern Idaho Advanced Care Hospital,40,Post Falls,ID
4220,Northern Inyo Hospital,25,Bishop,CA
4221,Northern Light Acadia Hospital,68,Bangor,ME
4222,Northern Light AR Gould Hospital,118,Presque Isle,ME
4223,Northern Light Blue Hill Hospital,25,Blue Hill,ME
4224,Northern Light CA Dean Hospital,25,Greenville,ME
4225,Northern Light Eastern Maine Medical Center,349,Bangor,ME
4226,Northern Light Inland Hospital,33,Waterville,ME
4227,Northern Light Maine Coast Hospital,48,Ellsworth,ME
4228,Northern Light Mayo Hospital,25,Dover-Foxcroft,ME
4229,Northern Light Mercy Hospital,103,Portland,ME
4230,Northern Light Sebasticook Valley Hospital,25,Pittsfield,ME
4231,Northern Louisiana Medical Center,157,Ruston,LA
4232,Northern Maine Medical Center,94,Fort Kent,ME
4233,Northern Montana Hospital,184,Havre,MT
4234,Northern Nevada Adult Mental Health Services,70,Sparks,NV
4235,Northern Nevada Medical Center,108,Sparks,NV
4236,Northern Rockies Medical Center,20,Cut Bank,MT
4237,Northern Utah Rehabilitation Hospital,40,South Ogden,UT
4238,Northern Virginia Mental Health Institute,94,Falls Church,VA
4239,Northern Westchester Hospital,195,Mount Kisco,NY
4240,Northfield Hospital,77,Northfield,MN
4241,Northport Medical Center,207,Northport,AL
4242,Northport VA Medical Center,0,Northport,NY
4243,Northridge Hospital Medical Center,394,Northridge,CA
4244,Northridge Medical Center,195,Commerce,GA
4245,Northside Gwinnett Joan Glancy,0,Duluth,GA
4246,Northside Hospital & Tampa Bay Heart Institute,221,Saint Petersburg,FL
4247,Northside Hospital Atlanta,536,Atlanta,GA
4248,Northside Hospital Cherokee,114,Canton,GA
4249,Northside Hospital Duluth,0,Duluth,GA
4250,Northside Hospital Forsyth,299,Cumming,GA
4251,Northside Hospital Gwinnett,556,Lawrenceville,GA
4252,Northwest Center for Behavioral Health,24,Fort Supply,OK
4253,Northwest Community Hospital,481,Arlington Heights,IL
4254,Northwest Florida Community Hospital,59,Chipley,FL
4255,Northwest Hills Surgical Hospital,8,Austin,TX
4256,Northwest Hospital,228,Randallstown,MD
4257,Northwest Medical Center,228,Margate,FL
4258,Northwest Medical Center,71,Winfield,AL
4259,Northwest Medical Center,294,Tucson,AZ
4260,Northwest Medical Center - Bentonville,121,Bentonville,AR
4261,Northwest Medical Center - Springdale,300,Springdale,AR
4262,Northwest Mississippi Medical Center,181,Clarksdale,MS
4263,Northwest Missouri Psychiatric Rehabilitation Center,108,Saint Joseph,MO
4264,Northwest Ohio Psychiatric Hospital,114,Toledo,OH
4265,Northwest Specialty Hospital,34,Post Falls,ID
4266,Northwest Surgery Hospital,9,Oklahoma City,OK
4267,Northwest Texas Healthcare System,444,Amarillo,TX
4268,Northwest Texas Surgical Hospital,4,Amarillo,TX
4269,Northwestern Medical Center,53,Saint Albans,VT
4270,Northwestern Medicine Central DuPage Hospital,395,Winfield,IL
4271,Northwestern Medicine Delnor Hospital,144,Geneva,IL
4272,Northwestern Medicine Huntley Hospital,0,Huntley,IL
4273,Northwestern Medicine Lake Forest Hospital,114,Lake Forest,IL
4274,Northwestern Medicine McHenry Hospital,286,McHenry,IL
4275,Northwestern Medicine Prentice Women's Hospital,0,Chicago,IL
4276,Northwestern Medicine Valley West Hospital,25,Sandwich,IL
4277,Northwestern Medicine Woodstock Hospital,32,Woodstock,IL
4278,Northwestern Memorial Hospital,912,Chicago,IL
4279,Northwood Deaconess Health Center,57,Northwood,ND
4280,Norton Audubon Hospital,0,Louisville,KY
4281,Norton Brownsboro Hospital,0,Louisville,KY
4282,Norton Children's Hospital,0,Louisville,KY
4283,Norton Community Hospital,78,Norton,VA
4284,Norton County Hospital,25,Norton,KS
4285,Norton Hospital,1430,Louisville,KY
4286,Norton Sound Regional Hospital,36,Nome,AK
4287,Norton Women's & Children's Hospital,0,Louisville,KY
4288,Norwalk Hospital,271,Norwalk,CT
4289,Norwegian American Hospital,185,Chicago,IL
4290,Norwood Health Center,16,Marshfield,WI
4291,Norwood Hospital,210,Norwood,MA
4292,Novant Health Brunswick Medical Center,61,Bolivia,NC
4293,Novant Health Charlotte Orthopaedic Hospital,80,Charlotte,NC
4294,Novant Health Forsyth Medical Center,901,Winston-Salem,NC
4295,Novant Health Hemby Children's Hospital,0,Charlotte,NC
4296,Novant Health Huntersville Medical Center,93,Huntersville,NC
4297,Novant Health Kernersville Medical Center,0,Kernersville,NC
4298,Novant Health Matthews Medical Center,123,Matthews,NC
4299,Novant Health Medical Park Hospital,22,Winston-Salem,NC
4300,Novant Health Mint Hill Medical Center,28,Mint Hill,NC
4301,Novant Health Presbyterian Medical Center,602,Charlotte,NC
4302,Novant Health Rehabilitation Hospital,0,Winston-Salem,NC
4303,Novant Health Rowan Medical Center,199,Salisbury,NC
4304,Novant Health Thomasville Medical Center,119,Thomasville,NC
